StateId,State,Population,HousingUnits,TotalArea,WaterArea,LandArea,PopulationDensity,HousingDensity
AL,Alabama,4779736,2171853,135767.5,4596.56,131170.9,36.45,16.56
AK,Alaska,710231,306967,1723338,245383.7,1477954,0.46,0.19
AZ,Arizona,6392017,2844526,295233.7,1026.21,294207.5,21.74,9.65
AR,Arkansas,2915918,1316299,137731.9,2960.54,134771.4,21.62,9.77
CA,California,37253956,13680081,423967.7,20501.12,403466.6,92.32,33.9
CO,Colorado,5029196,2212898,269601.6,1170.11,268431.5,18.73,8.26
CT,Connecticut,3574097,1487891,14357.38,1815.74,12541.66,284.98,118.65
DE,Delaware,897934,405885,6445.76,1399.06,5046.7,177.92,80.43
DC,District of Columbia,601723,296719,177,18.88,158.12,3805.61,1876.61
FL,Florida,18801310,8989580,170311.8,31424.19,138887.6,135.37,64.71
GA,Georgia,9687653,4088801,153910.5,4951.21,148959.4,65.02,27.45
HI,Hawaii,1360301,519508,28313.05,11678.5,16634.55,81.78,31.24
ID,Idaho,1567582,667796,216442.7,2397.89,214044.9,7.34,3.13
IL,Illinois,12830632,5296715,149995.5,6202.04,143793.5,89.23,36.83
IN,Indiana,6483802,2795541,94326.27,1537,92789.27,69.88,30.12
IA,Iowa,3046355,1336417,145746,1076.61,144669.4,21.04,9.23
KS,Kansas,2853118,1233215,213100.1,1345.86,211754.3,13.47,5.83
KY,Kentucky,4339367,1927164,104655.8,2386.57,102269.2,42.43,18.84
LA,Louisiana,4533372,1964981,135658.8,23761.16,111897.7,40.5,17.57
ME,Maine,1328361,721830,91633.17,11750.32,79882.85,16.64,9.03
MD,Maryland,5773552,2378814,32131.23,6989.58,25141.65,229.65,94.63
MA,Massachusetts,6547629,2808254,27335.76,7133.69,20202.08,324.09,139
MI,Michigan,9883640,4532233,250487,104051.8,146435.2,67.49,30.97
MN,Minnesota,5303925,2347201,225162.9,18930.47,206232.5,25.71,11.39
MS,Mississippi,2967297,1274719,125437.8,3907,121530.8,24.4,10.5
MO,Missouri,5988927,2712729,180540.4,2500.56,178039.9,33.63,15.25
MT,Montana,989415,482825,380831.4,3869.21,376962.2,2.63,1.27
NE,Nebraska,1826341,796793,200330.1,1356.22,198973.8,9.19,4.02
NV,Nevada,2700551,1173814,286379.9,2047.78,284332.2,9.5,4.13
NH,New Hampshire,1316470,614754,24214.23,1026.96,23187.27,56.76,26.53
NJ,New Jersey,8791894,3553562,22591.39,3544.04,19047.36,461.58,186.56
NM,New Mexico,2059179,901388,314917.7,756.67,314161,6.56,2.86
NY,New York,19378102,8108103,141296.9,19239.95,122056.9,158.77,66.45
NC,North Carolina,9535483,4327528,139391.1,13471.19,125919.9,75.71,34.36
ND,North Dakota,672591,317498,183107.9,4396.56,178711.4,3.75,1.78
OH,Ohio,11536504,5127508,116097.8,10269.03,105828.8,109,48.46
OK,Oklahoma,3751351,1664378,181037.4,3377.22,177660.2,21.12,9.38
OR,Oregon,3831074,1675562,254799.4,6191.45,248608,15.41,6.76
PA,Pennsylvania,12702379,5567315,119280.3,3397.13,115883.2,109.61,48.03
RI,Rhode Island,1052567,463388,4001.25,1323.67,2677.56,393.09,173.05
SC,South Carolina,4625364,2137683,82932.75,5075.84,77856.91,59.42,27.45
SD,South Dakota,814180,363438,199728.8,3379.11,196349.7,4.13,1.85
TN,Tennessee,6346105,2812133,109153.2,2355.23,106798,59.42,26.33
TX,Texas,25145561,9977436,695662.2,19074.63,676587.5,37.18,14.75
UT,Utah,2763885,979709,219882.1,7063.58,212818.5,12.97,4.59
VT,Vermont,625741,322539,24906.28,1035.24,23871.06,26.22,13.51
VA,Virginia,8001024,3364939,110786.6,8507.7,102278.9,78.22,32.9
WA,Washington,6724540,2885677,184661,12541.85,172119.1,39.07,16.76
WV,West Virginia,1852994,881917,62755.56,496.84,62258.72,29.77,14.17
WI,Wisconsin,5686986,2624358,169635,29366.78,140268.2,40.54,18.73
WY,Wyoming,563626,261868,253334.7,1864.46,251470.3,2.24,1.04
